CHEBI:16020	R-ICO-012350	1-methyladenosine
CHEBI:19062	R-ICO-012351	1-methylguanosine
CHEBI:19065	R-ICO-012352	1-methylinosine
CHEBI:16500	R-ICO-012353	1-phosphatidyl-1D-myo-inositol 5-phosphate
CHEBI:16618	R-ICO-012354	1-phosphatidyl-1D-myo-inositol 3,4,5-trisphosphate
CHEBI:76279	R-ICO-012356	2'-0-ACETYL-ADP-RIBOSE
CHEBI:74477	R-ICO-012357	2'-o-Methyladenosine
CHEBI:19228	R-ICO-012358	2'-o-Methylcytidine
CHEBI:19229	R-ICO-012359	2'-o-Methylguanosine
CHEBI:82882	R-ICO-012360	2'-o-methylN
CHEBI:74478	R-ICO-012361	2'-o-Methyluridine
CHEBI:19702	R-ICO-012362	2-methylguanosine
CHEBI:62875	R-ICO-012363	2-methylthio-N6_isopentenyladenosine
CHEBI:74420	R-ICO-012364	2-metylthio-N6-threonylcarbamoyladenosine
CHEBI:16810	R-ICO-012365	2-oxoglutarate
CHEBI:60731	R-ICO-012366	2-thiouridine
CHEBI:43074	R-ICO-012367	3-hydroxy-3-methylglutaryl-coenzyme A
CHEBI:68550	R-ICO-012369	5' triphosphate end
CHEBI:20598	R-ICO-012370	5-methylcarbamoylmethyluridine
CHEBI:20607	R-ICO-012371	5-methylcytidine
CHEBI:17111	R-ICO-012372	5-O-phosphono-alpha-D-ribofuranosyl diphosphate
CHEBI:87171	R-ICO-012373	5-taurinomethyl-2-thiouridine
CHEBI:87172	R-ICO-012374	5-taurinomethyluridine
CHEBI:28284	R-ICO-012375	6-dimethyladenosine
CHEBI:60283	R-ICO-012376	6-isopentenyladenosine
CHEBI:20794	R-ICO-012377	7-methylguanosine
CHEBI:57288	R-ICO-012383	Acetyl coenzyme A
CHEBI:40574	R-ICO-012384	Acetyl group
CHEBI:456216	R-ICO-012397	Adenosine diphosphate
CHEBI:456215	R-ICO-012398	Adenosine monophosphate
CHEBI:15422	R-ICO-012399	Adenosine triphosphate
CHEBI:71406	R-ICO-012405	Adrenaline
CHEBI:30879	R-ICO-012409	Alcohol
CHEBI:27584	R-ICO-012410	ALDOSTERONE
CHEBI:37690	R-ICO-012412	Allose
CHEBI:18145	R-ICO-012413	alpha-Tocopherol
CHEBI:37708	R-ICO-012414	Altrose
CHEBI:46882	R-ICO-012415	Amidogen
CHEBI:32952	R-ICO-012416	AMINES
CHEBI:78608	R-ICO-012417	AMINO ACIDS
CHEBI:28938	R-ICO-012418	Ammonium
CHEBI:22599	R-ICO-012446	Arabinose
CHEBI:17544	R-ICO-012467	Bicarbonate
CHEBI:22868	R-ICO-012468	BILE SALTS
CHEBI:48775	R-ICO-012498	Cadmium
CHEBI:17933	R-ICO-012499	CALCIDIOL
CHEBI:17823	R-ICO-012500	CALCITRIOL
CHEBI:29108	R-ICO-012501	Calcium
CHEBI:17489	R-ICO-012506	cAMP
CHEBI:16526	R-ICO-012507	Carbon dioxide
CHEBI:16646	R-ICO-012508	CARBS
CHEBI:16356	R-ICO-012555	cGMP
CHEBI:17996	R-ICO-012558	Chloride
CHEBI:29747	R-ICO-012560	CHOLATE
CHEBI:28940	R-ICO-012561	CHOLECALCIFEROL
CHEBI:16113	R-ICO-012562	CHOLESTEROL
CHEBI:17002	R-ICO-012563	CHOLESTEROL ESTER
CHEBI:62772	R-ICO-012576	5,6,7,8-tetrahydrobiopterin radical cation
CHEBI:3892	R-ICO-012581	CORTICOTROPIN
CHEBI:17650	R-ICO-012582	CORTISOL
CHEBI:17677	R-ICO-012593	Cytidine triphosphate
CHEBI:60313	R-ICO-012598	D-Galactosamine
CHEBI:18024	R-ICO-012599	D-Galacturonic acid
CHEBI:28393	R-ICO-012600	D-Glucosamine
CHEBI:47953	R-ICO-012601	D-Glucuronic acid
CHEBI:28378	R-ICO-012603	D-Guluronic acid
CHEBI:27503	R-ICO-012604	D-Mannosamine
CHEBI:16224	R-ICO-012605	D-Mannuronic acid
CHEBI:133904	R-ICO-012606	D-Talosamine
CHEBI:18035	R-ICO-012621	Diglyceride
CHEBI:23774	R-ICO-012622	Dihydrouridine
CHEBI:16108	R-ICO-012623	Dihydroxyacetone phosphate
CHEBI:36233	R-ICO-012626	Disaccharides
CHEBI:4705	R-ICO-012629	DNA
CHEBI:4705	R-ICO-012630	DNA 3D
CHEBI:4705	R-ICO-012636	DNA simplified
CHEBI:23875	R-ICO-012641	Dolichol phosphate
CHEBI:23965	R-ICO-012691	ESTRADIOL
CHEBI:17407	R-ICO-012703	FARNESYL PP
CHEBI:18059	R-ICO-012707	LIPIDS
CHEBI:28868	R-ICO-012708	FATTY ACID
CHEBI:28757	R-ICO-012731	Fructose
CHEBI:28260	R-ICO-012746	Galactose
CHEBI:33709	R-ICO-012755	Generic amino acid
CHEBI:36976	R-ICO-012756	Generic nucleotide 1
CHEBI:36976	R-ICO-012757	Generic nucleotide 2
CHEBI:36976	R-ICO-012758	Generic nucleotide 3
CHEBI:36976	R-ICO-012759	Generic nucleotide 4
CHEBI:57533	R-ICO-012762	Geranylgeranyl pyrophosphate
CHEBI:17234	R-ICO-012773	Glucose
CHEBI:24297	R-ICO-012774	GLUCURONATE
CHEBI:29985	R-ICO-012775	L-Glutamate
CHEBI:58359	R-ICO-012776	L-Glutamine
CHEBI:17138	R-ICO-012777	Glyceraldehyde 3-phosphate
CHEBI:17754	R-ICO-012778	GLYCEROL
CHEBI:28087	R-ICO-012780	GLYCOGEN
CHEBI:18085	R-ICO-012781	Glycosaminoglycans
CHEBI:24410	R-ICO-012783	Glycosyl-phosphatidylinositol
CHEBI:58189	R-ICO-012804	Guanosine diphosphate
CHEBI:37565	R-ICO-012805	Guanosine triphosphate
CHEBI:37691	R-ICO-012807	Gulose
CHEBI:60344	R-ICO-012814	HEME
CHEBI:28815	R-ICO-012816	Heparan sulfate
CHEBI:18133	R-ICO-012819	HEXOSES
CHEBI:15378	R-ICO-012841	Hydrogen
CHEBI:16240	R-ICO-012842	Hydrogen peroxide
CHEBI:24712	R-ICO-012843	Hydroxymethyl group
