ENSG00000210194	R-ICO-013713	MT-TE
ENSG00000198712	R-ICO-013716	MT-CO2
ENSG00000210082	R-ICO-013717	MT-RNR2
ENSG00000198886	R-ICO-013718	MT-ND4
ENSG00000198888	R-ICO-013723	MT-ND1
ENSG00000210154	R-ICO-013724	MT-TD
ENSG00000228253	R-ICO-013725	MT-ATP8
ENSG00000198695	R-ICO-013729	MT-ND6
ENSG00000198763	R-ICO-013730	MT-ND2
ENSG00000212907	R-ICO-013738	MT-ND4L
ENSG00000198727	R-ICO-013739	MT-CYB
ENSG00000198899	R-ICO-013740	MT-ATP6
ENSG00000198804	R-ICO-013741	MT-CO1
ENSG00000198840	R-ICO-013742	MT-ND3
ENSG00000198786	R-ICO-013743	MT-ND5
ENSG00000210140	R-ICO-013744	MT-TC
ENSG00000198938	R-ICO-013746	MT-CO3
ENSG00000210127	R-ICO-013747	MT-TA
ENSG00000211459	R-ICO-013749	MT-RNR1
ENSG00000210184	R-ICO-013750	MT-TS2
ENSG00000210135	R-ICO-013751	MT-TN
ENSG00000210176	R-ICO-013752	MT-TH
ENSG00000210195	R-ICO-013755	MT-TT
ENSG00000210151	R-ICO-013757	MT-TS1
ENSG00000210049	R-ICO-013758	MT-TF
ENSG00000210191	R-ICO-013759	MT-TL2
ENSG00000210196	R-ICO-013760	MT-TP
ENSG00000210164	R-ICO-013761	MT-TG
ENSG00000210144	R-ICO-013763	MT-TY
ENSG00000210112	R-ICO-013765	MT-TM
ENSG00000210174	R-ICO-013769	MT-TR
ENSG00000210117	R-ICO-013770	MT-TW
ENSG00000210156	R-ICO-013772	MT-TK
ENSG00000209082	R-ICO-013774	MT-TL1
ENSG00000210100	R-ICO-013776	MT-TI
ENSG00000210077	R-ICO-013777	MT-TV
ENSG00000210107	R-ICO-013779	MT-TQ
