Q99638	R-ICO-012378	9-1-1 complex
Q9NQ94	R-ICO-012379	A1CF
P00519	R-ICO-012382	ABL1
P60709	R-ICO-012385	ACTB
P63267	R-ICO-012386	Actin
Q9UBU3-1	R-ICO-012389	ACYLGHRELIN
Q9P0K1	R-ICO-012390	ADAM22
O75077	R-ICO-012391	ADAM23
P55265	R-ICO-012392	ADAR
Q9BUB4	R-ICO-012393	ADAT1
Q7Z6V5	R-ICO-012394	ADAT2
Q96EY9	R-ICO-012395	ADAT3
O43306	R-ICO-012396	ADCY6
Q08828	R-ICO-012401	Adenylate Cyclase Family
P08913	R-ICO-012404	ADRA2A,C
Q15109	R-ICO-012406	AGER
Q9UKV8	R-ICO-012407	AGO2
P31749	R-ICO-012408	AKT1
Q96BT7	R-ICO-012411	ALKBH8
P0DTE8	R-ICO-012420	AMYLASES
P01019	R-ICO-012422	ANGIOTENSIN
P01019	R-ICO-012423	ANGIOTENSINOGEN
P16157	R-ICO-012424	ANK1,2,3
O14727	R-ICO-012432	APAF1
P25054	R-ICO-012434	APC
P27695	R-ICO-012435	APEX1
P41238	R-ICO-012436	APOBEC1
P29972	R-ICO-012439	AQP1
P41181	R-ICO-012440	AQP2
Q92482	R-ICO-012441	AQP3
P55087	R-ICO-012442	AQP4
O14520	R-ICO-012443	AQP7
O43315	R-ICO-012444	AQP9
P10398	R-ICO-012447	ARAF,BRAF,RAF1
O00327	R-ICO-012448	ARNTL
Q96KQ4	R-ICO-012449	ASPPs
Q13315	R-ICO-012451	ATM
Q13535	R-ICO-012452	ATR
Q8WXE1	R-ICO-012453	ATRIP
P01185	R-ICO-012456	AVP
P30518	R-ICO-012457	AVPR2
O15169	R-ICO-012458	AXIN1
P15291	R-ICO-012459	B4GALT1
Q99728	R-ICO-012461	BARD1
Q9UIG0	R-ICO-012462	BAZ1B
Q9UIF9	R-ICO-012463	BAZ2A
P23560	R-ICO-012465	BDNF
Q00994	R-ICO-012466	BEX3
Q13490	R-ICO-012469	BIRC2,3
P36894	R-ICO-012476	BMPR
Q12982	R-ICO-012477	BNIP2
Q9BWV1	R-ICO-012478	BOC
P15056	R-ICO-012482	BRAF
P38398	R-ICO-012484	BRCA1
Q9UIR0	R-ICO-012485	BTNL
Q9Y297	R-ICO-012486	BTRC
O43683	R-ICO-012487	BUB1
O60566	R-ICO-012488	BUB1B
O43684	R-ICO-012489	BUB3
P01024	R-ICO-012490	C3b
P01031	R-ICO-012491	C5
P01031	R-ICO-012492	C5a
P01031	R-ICO-012493	C5b
P00915	R-ICO-012494	CA1,2
P22748	R-ICO-012495	CA4
